Retailer,Vendor,Category,Name,Price,Product Link,Description,Product Details,Description Lexical Diversity,Description Length,Materials,Size Guide,Luxury Tier,Number of pictures,Image Links
La Garconne,Fforme,DRESS,Renelle Fluid Twill Dress,1295.0,https://lagarconne.com/collections/all/products/ps26fo001-fforme-renelle-fluid-dress,"Fforme dark burgundy A-line dress with a scoop neckline and asymmetrical hem in fluid twill. Features wide shoulder straps, a deep neckline at back, and a delicate raw edge finish.",Color: Oxblood Red. 100% Viscose . Made in Italy.,86.67,30,['viscose'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session12764_TMHILHPS20_S_570cc9aa-18dc-4f8a-9ee4-979c4bcbdbb7_4096x4096.jpg?v=1765226016
La Garconne,Ter et Bantine,PANTS,Grasse Linen Blend Pant,845.0,https://lagarconne.com/collections/all/products/ss26tb014-ter-et-bantine-grasse-pant,"Ter et Bantine dark brown pull-on pants with wide, straight legs in a crisp linen blend. Features an elasticated waist with adjustable cord drawstring, angled pockets and patch pockets at back. Relaxed fit.","Color: Brown. 58% Polyester, 42% Linen. Made in Italy.",93.94,33,"['linen', 'polyester']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13292_TMHILHPS20_S_6560c431-4c4b-4b97-b3a9-65b45dc82cdf_4096x4096.jpg?v=1764965666
La Garconne,Ter et Bantine,DRESS,Fluent Silk Dress,1625.0,https://lagarconne.com/collections/all/products/ss26tb012-ter-et-bantine-fluent-dress,Ter et Bantine ivory white sleeveless dress with a straight silhouette and tassel detail at concealed back zipper in smooth and luxurious silk. Features a round neckline and a slit at back. Regular fit.,Color: Ivory.,85.29,34,['silk'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/whitedressfront_322d6b71-470d-4aaa-9c54-68503f866717_4096x4096.png?v=1764969424
La Garconne,Ter et Bantine,TOP,Perfect Silk Tank,670.0,https://lagarconne.com/collections/all/products/ss26tb010-ter-et-bantine-perfect-tank,Ter et Bantine khaki green tank with wide shoulder straps and a scoop neckline in smooth and luxurious silk. Features wide arm holes and a straight hem.,Color: Military Green. 100% Silk. Made in Italy.,85.19,27,['silk'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13264_TMHILHPS20_S_c934d29d-4a3c-4121-b2dc-a2be128569b1_4096x4096.jpg?v=1764966655
La Garconne,Ter et Bantine,TOP,Flower Embroidered Top,715.0,https://lagarconne.com/collections/all/products/ss26tb009-ter-et-bantine-flower-top,Ter et Bantine black sleeveless top with a round neckline and ties closure at front in a sequin embroidered tulle.,Color: Black. 100% Polyester. Attachments: 100% Cotton.,95.0,20,"['cotton', 'polyester']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13192_TMHILHPS20_S_8df671eb-a30c-48a2-b3a1-608eeff3f12f_4096x4096.jpg?v=1764966319
La Garconne,Ter et Bantine,DRESS,Martini Twill Dress,835.0,https://lagarconne.com/collections/all/products/ss26tb008-ter-et-bantine-martini-dress,"Ter et Bantine bright orange sleeveless pleated dress with a round neckline, and hook and eye closure at back neck in a textured twill. Regular fit.",Color: Orange. 100% Polyester. Made in Italy.,92.31,26,['polyester'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13142_TMHILHPS20_S_956f0091-b130-409e-a7c5-841e9398f89d_4096x4096.jpg?v=1764965730
La Garconne,Ter et Bantine,JACKET,Doll Leather Jacket,1750.0,https://lagarconne.com/collections/all/products/ss26tb006-ter-et-bantine-doll-jacket,"Ter et Bantine black short paneled jacket with short sleeves and a crew neck in soft nappa leather. Features an oversized buttons closure at front, slits at sides, back yoke and two patch pockets at front.","Color: Black. 100% Leather. Lining: 52% Viscose, 48% Cotton. Made in Italy.",88.89,36,"['leather', 'cotton', 'viscose']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13197_TMHILHPS20_S_4096x4096.jpg?v=1764966512
La Garconne,Ter et Bantine,DRESS,Petti Coat Silk Dress,1225.0,https://lagarconne.com/collections/all/products/ss26tb005-ter-et-bantine-petti-coat-dress,Ter et Bantine black asymmetrical dress with thin shoulder straps and draped panel details at sides in smooth and luxurious silk. Features a concealed zipper at back and asymmetrical hem. Coms unlined.,Color: Black. 100% Silk. Made in Italy.,87.5,32,['silk'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13152_TMHILHPS20_S_caeb4a03-36dc-4cf8-92a0-b715fd253fbe_4096x4096.jpg?v=1764966534
La Garconne,Ter et Bantine,PANTS,Over Linen Blend Pants,895.0,https://lagarconne.com/collections/all/products/ss26tb003-ter-et-bantine-over-pants,"Ter et Bantine pull-on pants with wide, straight legs in a lightweights and crisp linen blend. Features an elasticated waistband, a faux fly, deep side pockets and two patch pockets at back. Relaxed fit.",Color: Butter. 58% Polyester. 42% Linen. Made in italy.,91.18,34,"['linen', 'polyester']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13267_TMHILHPS20_S_827b4610-11b5-4ae5-b104-062c362ecc11_4096x4096.jpg?v=1764966730
La Garconne,Frenckenberger,SWEATER,Mini Gypsy Cashmere Sweater,695.0,https://lagarconne.com/collections/all/products/ps26fr013-frenckenberger-mini-gypsy-sweater,"Frenckenberger dark olive green sweater with a V-neckline and dropped shoulders in an ultra-soft mid-weight cashmere knit. Features a relaxed, blouson silhouette and rib trim finishing along neckline with a wider ribbed trim at the cuffs and hem.",Color: Black Olive. 100% Cashmere. Made in Mongolia.,84.21,38,['cashmere'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13073_TMHILHPS20_S_4096x4096.jpg?v=1764956959
La Garconne,Frenckenberger,SWEATER,Hooded Cashmere Silk Sweater,1155.0,https://lagarconne.com/collections/all/products/ps26fr009-frenckenberger-hooded-sweater,"Frenckenberger chalk white hooded sweater with an oversized, blouson silhouette in a luxurious mid-weight cashmere and silk blend knit. Features rib trim finishing at hood, cuffs and hem.","Color: Chalk. 75 % Cashmere, 25% Silk. Made in Mongolia .",96.43,28,"['silk', 'cashmere']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13089_TMHILHPS20_S_68df7f4a-cd31-4aaf-9321-106afe1753da_4096x4096.jpg?v=1764957659
La Garconne,Frenckenberger,SWEATER,Gypsy Cashmere Bolero Cardigan,695.0,https://lagarconne.com/collections/all/products/ps26fr006-frenckenberger-gypsy-sweater-bolero,Frenckenberger black short bolero cardigan with an open front and dropped shoulders in soft cashmere knit. Features rubbed trim at opening and cuffs. Relaxed fit.,Color: Black. 100% Cashmere. Made in Mongolia.,96.0,25,['cashmere'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13000_TMHILHPS20_S_3fc73cbd-d2f3-4060-8942-2b20fcfa634c_4096x4096.jpg?v=1764955182
La Garconne,Frenckenberger,PANTS,Gypsy Cashmere Pants,865.0,https://lagarconne.com/collections/all/products/ps26fr005-frenckenberger-gypsy-pants,Frenckenberger black pants with slightly flared legs in an ultra-soft mid-weight cashmere knit. Features an elasticated waist and side seam pockets.,Color: Black. 100% Cashmere. Made in Mongolia.,95.24,21,['cashmere'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13082_TMHILHPS20_S_4096x4096.jpg?v=1764955246
La Garconne,Frenckenberger,SWEATER,Grandpa Cashmere Silk Cardigan,1270.0,https://lagarconne.com/collections/all/products/ps26fr004-frenckenberger-grandpa-cardigan,"Frenckenberger chalk white open-front cardigan with an oversized, blouson silhouette in a luxurious mid-weight cashmere and silk blend knit. Features a softly draped front opening, concealed side pockets and rib trim finish along the cuffs and hem.","Color: Chalk. 75 % Cashmere, 25% Silk. Made in Mongolia .",91.89,37,"['silk', 'cashmere']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session12950_TMHILHPS20_S2_4096x4096.jpg?v=1764960080
La Garconne,Frenckenberger,DRESS,Drape Cashmere Dress,965.0,https://lagarconne.com/collections/all/products/ps26fr003-frenckenberger-drape-medium-dress,"Frenckenberger dark olive green pleated sleeveless dress with an open neckline in lightweight and delicate soft cashmere. Features an optional decorative pin and a relaxed, fluid silhouette.",Color: Black Olive. 100% Cashmere. Made in Mongolia.,92.59,27,['cashmere'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13181_TMHILHPS20_S_2dc28a06-0c8f-4b10-b9f5-e73642e8fc5c_4096x4096.jpg?v=1764957503
La Garconne,Frenckenberger,SWEATER,BF R-Neck Cashmere Silk Sweater,945.0,https://lagarconne.com/collections/all/products/ps26fr001-frenckenberger-bf-r-neck-sweater,"Frenckenberger pale green unisex boyfriend-style sweater with a round neck and raglan sleeves in a luxurious mid-weight cashmere and silk blend knit. Features a relaxed, blouson silhouette and rib trim finishings along neckline with a wider rib trim finish at the cuffs and hem.","Color: White Tea. 75 % Cashmere, 25% Silk. Made in Mongolia .",79.55,44,"['silk', 'cashmere']",True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13009_TMHILHPS20_S1_4096x4096.jpg?v=1764958062
